timeDifference,chapter,timeDuration,start,finish,second
0:01:00,6,00:01:00-00:02:00,00:01:00,00:02:00,60
0:00:27,1,00:02:00-00:02:27,00:02:00,00:02:27,27
0:00:24,3,00:02:27-00:02:51,00:02:27,00:02:51,24
0:00:18,4,00:02:51-00:03:09,00:02:51,00:03:09,18
0:00:28,2,00:03:09-00:03:37,00:03:09,00:03:37,28
0:00:20,5,00:03:37-00:03:57,00:03:37,00:03:57,20
0:00:13,3,00:03:57-00:04:10,00:03:57,00:04:10,13
0:00:10,4,00:04:10-00:04:20,00:04:10,00:04:20,10
0:00:20,1,00:04:20-00:04:40,00:04:20,00:04:40,20
0:00:18,5,00:04:40-00:04:58,00:04:40,00:04:58,18
0:00:13,2,00:04:58-00:05:11,00:04:58,00:05:11,13
0:04:28,1,00:05:11-00:09:39,00:05:11,00:09:39,268
0:05:11,2,00:09:39-00:14:50,00:09:39,00:14:50,311
0:04:35,3,00:14:50-00:19:25,00:14:50,00:19:25,275
0:05:14,4,00:19:25-00:24:39,00:19:25,00:24:39,314
0:07:08,5,00:24:39-00:31:47,00:24:39,00:31:47,428
0:07:10,6,00:31:47-00:38:57,00:31:47,00:38:57,430
0:01:15,5,00:38:57-00:40:12,00:38:57,00:40:12,75
0:00:42,1,00:40:12-00:40:54,00:40:12,00:40:54,42
0:00:49,2,00:40:54-00:41:43,00:40:54,00:41:43,49
0:00:54,3,00:41:43-00:42:37,00:41:43,00:42:37,54
0:02:36,4,00:42:37-00:45:13,00:42:37,00:45:13,156
0:01:34,1,00:45:13-00:46:47,00:45:13,00:46:47,94
0:00:26,5,00:46:47-00:47:13,00:46:47,00:47:13,26
0:01:17,3,00:47:13-00:48:30,00:47:13,00:48:30,77
0:00:21,5,00:48:30-00:48:51,00:48:30,00:48:51,21
0:02:24,2,00:48:51-00:51:15,00:48:51,00:51:15,144
0:01:38,6,00:51:15-00:52:53,00:51:15,00:52:53,98
0:00:42,4,00:52:53-00:53:35,00:52:53,00:53:35,42
0:00:24,6,00:53:35-00:53:59,00:53:35,00:53:59,24
0:00:04,5,00:53:59-00:54:03,00:53:59,00:54:03,4
0:00:05,2,00:54:00-00:54:05,00:54:00,00:54:05,5
0:00:07,3,00:54:05-00:54:12,00:54:05,00:54:12,7
0:00:05,1,00:54:12-00:54:17,00:54:12,00:54:17,5
0:00:16,5,00:54:17-00:54:33,00:54:17,00:54:33,16
0:01:21,1,00:54:33-00:55:54,00:54:33,00:55:54,81
0:00:32,3,00:55:54-00:56:26,00:55:54,00:56:26,32
0:00:49,2,00:56:26-00:57:15,00:56:26,00:57:15,49
0:00:52,3,00:57:15-00:58:07,00:57:15,00:58:07,52
0:01:20,4,00:58:07-00:59:27,00:58:07,00:59:27,80
0:00:33,6,00:59:27-01:00:00,00:59:27,01:00:00,33
0:00:16,5,01:00:00-01:00:16,01:00:00,01:00:16,16
0:00:05,6,01:00:16-01:00:21,01:00:16,01:00:21,5
0:00:23,5,01:00:21-01:00:44,01:00:21,01:00:44,23
0:01:03,6,01:00:44-01:01:47,01:00:44,01:01:47,63
0:00:27,4,01:01:47-01:02:14,01:01:47,01:02:14,27
0:00:46,5,01:02:14-01:03:00,01:02:14,01:03:00,46
